Title,Quantity,Time Left,High Bid,Bid Count,URL,Company,City,State,Shipping?
2008 Chevy Impala- 258022- $120.00,1.0,11h  27m  ,575.0,15,https://texas.hibid.com/lot/83704487,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Nissan Frontier- 464334- $120.00,1.0,11h  28m  ,1450.0,38,https://texas.hibid.com/lot/83704488,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2006 Chevy Trailblazer- 230229- $95.00,1.0,11h  28m  ,550.0,10,https://texas.hibid.com/lot/83704489,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2004 Honda Accord- 017833- $120.00,1.0,11h  29m  ,1025.0,14,https://texas.hibid.com/lot/83704490,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1998 Ford Mustang- 240207-REBUILT SALVAGE,1.0,11h  29m  ,325.0,4,https://texas.hibid.com/lot/83704491,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2002 Daewood Lanos- 695612-REBUILT SALVAGE,1.0,11h  30m  ,0.0,0,https://texas.hibid.com/lot/83704492,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2004 VW Passat- 202491- $150.00,1.0,11h  30m  ,575.0,14,https://texas.hibid.com/lot/83704493,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2012 Ford Fiesta- 158290- $120.00,1.0,11h  31m  ,1475.0,30,https://texas.hibid.com/lot/83704494,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Toyota Avalon- 049111- $120.00,1.0,11h  31m  ,775.0,15,https://texas.hibid.com/lot/83704495,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1998 Mitsubishi 3000 GT- 001142- $95.00,1.0,11h  32m  ,300.0,3,https://texas.hibid.com/lot/83704496,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1996 Mazda B3000- M08931,1.0,11h  32m  ,725.0,16,https://texas.hibid.com/lot/83704497,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1999 BMW 323I- A84111- $150.00,1.0,11h  33m  ,450.0,7,https://texas.hibid.com/lot/83704498,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2012 Ford Focus- 409597- $120.00,1.0,11h  33m  ,1450.0,24,https://texas.hibid.com/lot/83704499,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 BMW 530I- R60851- $150.00,1.0,11h  34m  ,1825.0,41,https://texas.hibid.com/lot/83704500,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
